mrt,latitude,longitude,line
EUNOS MRT STATION,1.3197789515536371,103.90325246673828,EW
CHINESE GARDEN MRT STATION,1.3423528208747444,103.73259673807335,EW
KHATIB MRT STATION,1.4173833701535468,103.83297990773832,NS
KRANJI MRT STATION,1.4251776987704483,103.7621654109002,NS
REDHILL MRT STATION,1.2895627264024532,103.81681667014902,EW
YEW TEE MRT STATION,1.3975350177934125,103.74740511413792,NS
PIONEER MRT STATION,1.3375868822047494,103.69732151293609,EW
COMMONWEALTH MRT STATION,1.3024387353271702,103.79830451562896,EW
PAYA LEBAR MRT STATION,1.318112082295278,103.8930603552516,EW
SIMEI MRT STATION,1.343202894930727,103.95337169417571,EW
TAMPINES MRT STATION,1.3533013563424343,103.9451487,EW
ADMIRALTY MRT STATION,1.4405850010854109,103.80098800081232,NS
YISHUN MRT STATION,1.4294430808108003,103.8350050461946,NS
PASIR RIS MRT STATION,1.372983774,103.9492681182454,EW
CLEMENTI MRT STATION,1.3149544924235943,103.76529887432638,EW
ALJUNIED MRT STATION,1.316432611657838,103.88290604466044,EW
ANG MO KIO MRT STATION,1.3693473037885635,103.84993299388984,NS
EXPO MRT STATION,1.3345497778378117,103.96154821070796,CG
CHOA CHU KANG MRT STATION,1.3853616928288095,103.74434094618154,NS
JURONG EAST MRT STATION,1.3331526198940653,103.7422865440047,EW
QUEENSTOWN MRT STATION,1.2948609327949876,103.8058843,EW
TUAS LINK MRT STATION,1.340463765648207,103.63687867834884,EW
GUL CIRCLE MRT STATION,1.3195052149382065,103.660553,EW
WOODLANDS MRT STATION,1.4368751282107552,103.78648513490744,NS
TUAS CRESCENT MRT STATION,1.3210265532422654,103.64907547830892,EW
KALLANG MRT STATION,1.3114889096421625,103.87138654135926,EW
TUAS WEST ROAD MRT STATION,1.3299890890491357,103.63961405603035,EW
BUONA VISTA MRT STATION,1.307183466547333,103.79019153517372,EW
DOVER MRT STATION,1.3114052929253075,103.77863784163792,EW
SEMBAWANG MRT STATION,1.4490508212272943,103.82004614054829,NS
KEMBANGAN MRT STATION,1.3210382488510848,103.9129493883634,EW
BUKIT BATOK MRT STATION,1.3490341085766733,103.74956676385231,NS
BOON LAY MRT STATION,1.3386040545032738,103.70606462259596,EW
BUKIT GOMBAK MRT STATION,1.3587618572614455,103.75189350208204,NS
MARSILING MRT STATION,1.4325144206356422,103.77407146126208,NS
BEDOK MRT STATION,1.3239799688877467,103.92998449462056,EW
JOO KOON MRT STATION,1.327717173,103.67837514285053,EW
LAKESIDE MRT STATION,1.3442592493946972,103.72094926847876,EW
TANAH MERAH MRT STATION,1.3271871345383557,103.94634646062272,EW
YIO CHU KANG MRT STATION,1.3817560461130038,103.84494728975424,NS
OASIS LRT STATION,1.402286677493708,103.91272735563076,PE
SAM KEE LRT STATION,1.409612685086607,103.90483155051864,PW
FARMWAY LRT STATION,1.3971701964580427,103.88930481043572,SW
KUPANG LRT STATION,1.3982128283971755,103.88125622197416,SW
RENJONG LRT STATION,1.3867239215280005,103.8905394271551,SW
BUKIT PANJANG LRT STATION,1.377909897982203,103.76301363378538,BP
FAJAR LRT STATION,1.3845207961752235,103.7708085825086,BP
PUNGGOL LRT STATION,1.4051947013024328,103.90241191198471,PT
SAMUDERA LRT STATION,1.4159017194387675,103.90215631639084,PW
NIBONG LRT STATION,1.4118704584532271,103.90031381767317,PW
SOO TECK LRT STATION,1.4050885848539645,103.8972096503174,PW
KADALOOR LRT STATION,1.3995848527611094,103.91648666197332,PE
CORAL EDGE LRT STATION,1.393909226117486,103.9125808548093,PE
THANGGAM LRT STATION,1.3973181549952225,103.87563515645569,SW
KEAT HONG LRT STATION,1.378602765983026,103.74905551939932,BP
DAMAI LRT STATION,1.4052348361719906,103.90860354364428,PE
COVE LRT STATION,1.3992819850199325,103.9059619440764,PE
RIVIERA LRT STATION,1.3945244957690124,103.91616605898768,PE
SENJA LRT STATION,1.3826922958241612,103.76236722595048,BP
JELAPANG LRT STATION,1.386703025013921,103.76450333815882,BP
PETIR LRT STATION,1.3777503338172217,103.766669,BP
TECK WHYE LRT STATION,1.3766846794439074,103.75371223219943,BP
CHOA CHU KANG LRT STATION,1.3848363599658255,103.7445537312411,BP
SOUTH VIEW LRT STATION,1.380298287217282,103.74529180004232,BP
LAYAR LRT STATION,1.392079838772599,103.88002960034964,SW
KANGKAR LRT STATION,1.3839789018335389,103.90217398876578,SE
MERIDIAN LRT STATION,1.3969120530632737,103.9089502169662,PE
CHENG LIM LRT STATION,1.3962776313358083,103.89379718083607,SW
PUNGGOL POINT LRT STATION,1.4168485204957677,103.90665079046616,PW
SUMANG LRT STATION,1.4084524256476956,103.89855845404988,PW
FERNVALE LRT STATION,1.391885887744102,103.87630861136844,SW
TONGKANG LRT STATION,1.3893479529596946,103.88584414990768,SW
PENDING LRT STATION,1.376142882785048,103.77127017861224,BP
TECK LEE LRT STATION,1.4127708938635477,103.90657762270187,PW
BANGKIT LRT STATION,1.3800178972420925,103.77264907257116,BP
BAKAU LRT STATION,1.3880927037751092,103.90543910424007,SE
RUMBIA LRT STATION,1.391468496838555,103.90597359531088,SE
COMPASSVALE LRT STATION,1.3944930461980638,103.90049245062764,SE
RANGGUNG LRT STATION,1.3838854419159177,103.89753716196952,SE
PHOENIX LRT STATION,1.3786188444529008,103.75803409838647,BP
SEGAR LRT STATION,1.387772130860874,103.76959839678024,BP
SENGKANG LRT STATION,1.3916093638162654,103.89544258366438,ST
BRAS BASAH MRT STATION,1.2968616865276132,103.8506673717781,CC
MACPHERSON MRT STATION,1.326345371661258,103.8902870313661,CC
CITY HALL MRT STATION,1.2929362428460929,103.85258589234417,EW
TAMPINES EAST MRT STATION,1.356191483037002,103.95463446292943,DT
TAMPINES WEST MRT STATION,1.345515305,103.93843697135333,DT
GEYLANG BAHRU MRT STATION,1.3215058380176048,103.8719006257064,DT
BENDEMEER MRT STATION,1.313672232544496,103.8629779874744,DT
BENCOOLEN MRT STATION,1.2988642704173592,103.85038425491643,DT
HARBOURFRONT MRT STATION,1.265472639862096,103.82144306908803,NE
